,Title,Number,Address,Email
234,Cracked Nut,(01)5375942,71 Camden St   Dublin  Co. Dublin,crackednutdublin@gmail.com
235,Wanderlust Restaurant,(01)2351548,"111 Coliemore Road,   Dalkey  Co. Dublin",wanderlustdalkey@gmail.com
236,Tea Gardens Dublin,(086)2191010,7 Ormond Quay Lower   Dublin  Co. Dublin,
237,Midori Sushi,(01)5370330,"30 Crumlin Rd,   Dublin  Co. Dublin",
238,Sova Butcher,(085)7277509,51 Pleasants Street   Dublin  Co. Dublin,
239,Jerusalem Restaurant,(01)4244001,77 Camden Street Lower   Dublin  Co. Dublin,
240,Urban Mess,(01)8188995,EastPoint Business Park   Dublin  Co. Dublin,
241,Tolteca,(01)5592114,40 Camden Street Lower   Dublin  Co. Dublin,
242,Saba,(01)5631999,22 Baggot Street Upper   Dublin  Co. Dublin,
243,CrackBird,(01)5584777,4/5 Castle Market   Dublin  Co. Dublin,
244,Cracked Nut,(01)5375942,71 Camden St   Dublin  Co. Dublin,crackednutdublin@gmail.com
245,Wanderlust Restaurant,(01)2351548,"111 Coliemore Road,   Dalkey  Co. Dublin",wanderlustdalkey@gmail.com
246,Tea Gardens Dublin,(086)2191010,7 Ormond Quay Lower   Dublin  Co. Dublin,
247,Midori Sushi,(01)5370330,"30 Crumlin Rd,   Dublin  Co. Dublin",
248,Sova Butcher,(085)7277509,51 Pleasants Street   Dublin  Co. Dublin,
249,Jerusalem Restaurant,(01)4244001,77 Camden Street Lower   Dublin  Co. Dublin,
250,Urban Mess,(01)8188995,EastPoint Business Park   Dublin  Co. Dublin,
251,Tolteca,(01)5592114,40 Camden Street Lower   Dublin  Co. Dublin,
252,Saba,(01)5631999,22 Baggot Street Upper   Dublin  Co. Dublin,
253,Catherines Cafe,(01)5163193,16/17 Meath St   Dublin  Co. Dublin,
254,Nando's - Dublin Liffey Valley,(01)6237851,Liffey Valley Shopping Centre   Dublin  Co. Dublin,hello@nandos.co.uk
255,Lavanda Restaurant,(01)6719420,31 North Brunswick Street   Dublin  Co. Dublin,lavanda.onpoleposition@yahoo.com
256,Kundan Tandoori,(01)4514771,Unit 4 Tallaght Retail pk   D24DD88 Co. Dublin,
257,Bombay House,(01)802 9628,"24 Strand St,  Skerries   Co. Dublin",
258,The Farm,(01)6718654,3 Dawson Street Dublin 2   Co. Dublin,hello@thefarmfood.ie
259,The Lo-cal Kitchen,(01) 8388050,The Phoenix Park Racecourse  Dublin 15  Co. Dublin,orders@thelo-calkitchen.ie
260,Brass Monkey Restaurant And Wine Bar The,(01)8063746,12 West Pier Howth   Co. Dublin,
261,Quattro Wood Fired Pizza,(086)4026178,"12 Bath Ave,   Ballsbridge  Co. Dublin",quattrowfp@gmail.com
262,Tuk Asian Street Food,(01)8053333,Fairview Dublin 3 Co. Dublin,
263,Kerala Kitchen,(01)6687371,"5 Baggot Street Upper,   Dublin  Co. Dublin",
264,My Meat Wagon,(01)8748172,Smithfield Market Square   Dublin  Co. Dublin,
265,Delahunts,(01)5984880,"39 Camden Street,  Dublin   Co. Dublin",
266,Rockos Burger Joint,(01)4021711,201 Emmet Rd   Inchicore  Co. Dublin,info@rockos.ie
267,Stat Pizza Clondalkin Branch,(01)4574680,"Main Street,   Clondalkin  Co. Dublin",starpizzaclondalkin@gmail.com
268,Tasty Thai Cottage,(01)8495950,"24 South Strand Street,   Skerries  Co. Dublin",
269,An Bhialann,(01)5385200,"120 Ranelagh,   Dublin  Co. Dublin",
270,The Coffee House,(01)4242069,169 Drimnagh Rd Walkinstown  Dublin 12 D12 WYV1 Co. Dublin,
271,Chuan City,(01)4509032,2-4 Long Mile Road   Walkinstown D12 PK8H Co. Dublin,
272,CrackBird,(01)5584777,4/5 Castle Market   Dublin  Co. Dublin,
273,J2 Shusi,(01)8131738,75 Main Street   Swords K67 W7D9 Co. Dublin,j2.onpoleposition@yahoo.com
274,3FE,(01)6610329,32/34 Lower Grand Canal Street   Dublin  Co. Dublin,hello@3fe.com
275,Pickle Restaurant,(01)5557755,43 Camden Street Lower   Dublin  Co. Dublin,
276,FIA Cafe,(01)4413344,155b Rathgar Road   Rathgar  Co. Dublin,info@fia.ie
277,Circa Restaurant,(01) 534 2644,90 Terenure Road North  Dublin 6W D6W RR82 Co. Dublin,info@restaurantcirca.com
278,Golden Olive Restaurant,(01) 218 5791,"19 Roebuck Road, Friarland  Dublin 14 D14 V386 Co. Dublin",info@goldenoliverestaurant.com
279,Toss,(01)5374996,2 Rock Hill  Dublin A94 PX20 Co. Dublin,
280,Josh's Place,(01)4098126,U6 Ballymount Retail Centre Ballymount  24 Co. Dublin,info@joshsplace.ie
281,Pagoda Chinese Restaurant,(061)342888,Corbally Road Corbally   Co. Limerick,
282,Camden Bites & Brews,(085) 2070468,9 Camden Street Lower Saint Kevin’s Dublin 2 D02 FX67 Co. Dublin,hello@wearecamden.ie
